Serial No.,Timestamp,Temperature (°C),Humidity (%),CO2 (PPM),PM 1 (µg/m³),PM 2.5 (µg/m³),PM 10 (µg/m³)
122,2026-04-15 15:05:55,32.8,59.0,,,,
123,2026-04-15 15:06:00,32.8,59.0,,,,
124,2026-04-15 15:06:05,32.8,59.0,,,,
125,2026-04-15 15:06:10,32.8,59.0,,,,
126,2026-04-15 15:06:15,32.8,59.0,,,,
127,2026-04-15 15:06:20,32.8,59.0,,,,
128,2026-04-15 15:06:25,32.8,59.0,,,,
129,2026-04-15 15:06:30,32.8,59.0,,,,
130,2026-04-15 15:06:35,32.8,59.0,,,,
131,2026-04-15 15:06:40,32.8,59.0,,,,
132,2026-04-15 15:06:45,32.8,59.0,,,,
133,2026-04-15 15:06:51,32.8,59.0,,,,
134,2026-04-15 15:06:55,32.8,59.0,,,,
135,2026-04-15 15:07:00,32.8,59.0,,,,
136,2026-04-15 15:07:05,32.8,59.0,,,,
137,2026-04-15 15:07:10,32.8,59.0,,,,
138,2026-04-15 15:07:15,32.8,59.0,,,,
139,2026-04-15 15:07:20,32.8,59.0,,,,
140,2026-04-15 15:07:25,32.8,59.0,,,,
141,2026-04-15 15:07:30,32.8,59.0,,,,
142,2026-04-15 15:07:35,32.8,59.0,,,,
143,2026-04-15 15:07:40,32.8,59.0,,,,
144,2026-04-15 15:07:45,32.8,59.0,,,,
145,2026-04-15 15:07:50,32.8,59.0,,,,
146,2026-04-15 15:07:55,32.8,59.0,,,,
147,2026-04-15 15:08:00,32.8,59.0,,,,
148,2026-04-15 15:08:05,32.8,59.0,,,,
149,2026-04-15 15:08:10,32.8,59.0,,,,
150,2026-04-15 15:08:15,32.8,59.0,,,,
151,2026-04-15 15:08:20,32.8,59.0,,,,
152,2026-04-15 15:08:25,32.8,59.0,,,,
153,2026-04-15 15:08:30,32.8,59.0,,,,
154,2026-04-15 15:08:35,32.8,59.0,,,,
155,2026-04-15 15:08:40,32.8,59.0,,,,
156,2026-04-15 15:08:45,32.8,59.0,,,,
157,2026-04-15 15:08:50,32.8,59.0,,,,
158,2026-04-15 15:08:55,32.8,59.0,,,,
159,2026-04-15 15:09:00,32.8,59.0,,,,
160,2026-04-15 15:09:05,32.8,59.0,,,,
161,2026-04-15 15:09:10,32.8,59.0,,,,
162,2026-04-15 15:09:15,32.8,59.0,,,,
163,2026-04-15 15:09:20,32.8,59.0,,,,
164,2026-04-15 15:09:25,32.8,59.0,,,,
165,2026-04-15 15:09:30,32.8,59.0,,,,
166,2026-04-15 15:09:35,32.8,59.0,,,,
167,2026-04-15 15:09:40,32.8,59.0,,,,
168,2026-04-15 15:09:45,32.8,59.0,,,,
169,2026-04-15 15:09:50,32.8,59.0,,,,
170,2026-04-15 15:09:55,32.8,59.0,,,,
171,2026-04-15 15:10:00,32.8,59.0,,,,
172,2026-04-15 15:10:05,32.8,59.0,,,,
173,2026-04-15 15:10:10,32.8,59.0,,,,
174,2026-04-15 15:10:15,32.8,59.0,,,,
175,2026-04-15 15:10:20,32.8,59.0,,,,
176,2026-04-15 15:10:25,32.8,59.0,,,,
177,2026-04-15 15:10:30,32.8,59.0,,,,
178,2026-04-15 15:10:35,32.8,59.0,,,,
179,2026-04-15 15:10:40,32.8,59.0,,,,
180,2026-04-15 15:10:45,32.8,59.0,,,,
181,2026-04-15 15:10:50,32.8,59.0,,,,
182,2026-04-15 15:10:55,32.8,59.0,,,,
183,2026-04-15 15:11:00,32.8,59.0,,,,
184,2026-04-15 15:11:05,32.8,59.0,,,,
185,2026-04-15 15:11:10,32.8,59.0,,,,
186,2026-04-15 15:11:15,32.8,59.0,,,,
187,2026-04-15 15:11:20,32.8,59.0,,,,
188,2026-04-15 15:11:25,32.8,59.0,,,,
189,2026-04-15 15:11:30,32.8,59.0,,,,
190,2026-04-15 15:11:35,32.8,59.0,,,,
191,2026-04-15 15:11:41,32.8,59.0,,,,
192,2026-04-15 15:11:45,32.8,59.0,,,,
193,2026-04-15 15:11:50,32.8,59.0,,,,
194,2026-04-15 15:11:55,32.8,59.0,,,,
195,2026-04-15 15:12:00,32.8,59.0,,,,
196,2026-04-15 15:12:05,32.8,59.0,,,,
197,2026-04-15 15:12:10,32.8,59.0,,,,
198,2026-04-15 15:12:15,32.8,59.0,,,,
199,2026-04-15 15:12:20,32.8,59.0,,,,
200,2026-04-15 15:12:25,32.8,59.0,,,,
201,2026-04-15 15:12:31,32.8,59.0,,,,
202,2026-04-15 15:12:35,32.8,59.0,,,,
203,2026-04-15 15:12:40,32.8,59.0,,,,
204,2026-04-15 15:12:45,32.8,59.0,,,,
205,2026-04-15 15:12:50,32.8,59.0,,,,
206,2026-04-15 15:12:55,32.8,59.0,,,,
207,2026-04-15 15:13:00,32.8,59.0,,,,
208,2026-04-15 15:13:05,32.8,59.0,,,,
209,2026-04-15 15:13:10,32.8,59.0,,,,
210,2026-04-15 15:13:15,32.8,59.0,,,,
211,2026-04-15 15:13:20,32.8,59.0,,,,
212,2026-04-15 15:13:25,32.8,59.0,,,,
213,2026-04-15 15:13:30,32.8,59.0,,,,
214,2026-04-15 15:13:35,32.8,59.0,,,,
215,2026-04-15 15:13:40,32.8,59.0,,,,
216,2026-04-15 15:13:45,32.8,59.0,,,,
217,2026-04-15 15:13:50,32.8,59.0,,,,
218,2026-04-15 15:13:55,32.8,59.0,,,,
219,2026-04-15 15:14:00,32.8,59.0,,,,
220,2026-04-15 15:14:05,32.8,59.0,,,,
221,2026-04-15 15:14:10,32.8,59.0,,,,
222,2026-04-15 15:14:15,32.8,59.0,,,,
223,2026-04-15 15:14:20,32.8,59.0,,,,
224,2026-04-15 15:14:25,32.8,59.0,,,,
225,2026-04-15 15:14:30,32.8,59.0,,,,
226,2026-04-15 15:14:35,32.8,59.0,,,,
227,2026-04-15 15:14:40,32.8,59.0,,,,
228,2026-04-15 15:14:45,32.8,59.0,,,,
229,2026-04-15 15:14:50,32.8,59.0,,,,
230,2026-04-15 15:14:55,32.8,59.0,,,,
231,2026-04-15 15:15:00,32.8,59.0,,,,
232,2026-04-15 15:15:05,32.8,59.0,,,,
233,2026-04-15 15:15:10,32.8,59.0,,,,
234,2026-04-15 15:15:15,32.8,59.0,,,,
235,2026-04-15 15:15:20,32.8,59.0,,,,
236,2026-04-15 15:15:25,32.8,59.0,,,,
237,2026-04-15 15:15:30,32.8,59.0,,,,
238,2026-04-15 15:15:35,32.8,59.0,,,,
239,2026-04-15 15:15:40,32.8,59.0,,,,
240,2026-04-15 15:15:45,32.8,59.0,,,,
241,2026-04-15 15:15:50,32.8,59.0,,,,
242,2026-04-15 15:15:55,32.8,59.0,,,,
243,2026-04-15 15:16:00,32.8,59.0,,,,
244,2026-04-15 15:16:05,32.8,59.0,,,,
245,2026-04-15 15:16:10,32.8,59.0,,,,
246,2026-04-15 15:16:15,32.8,59.0,,,,
247,2026-04-15 15:16:20,32.8,59.0,,,,
248,2026-04-15 15:16:25,32.8,59.0,,,,
249,2026-04-15 15:16:30,32.8,59.0,,,,
250,2026-04-15 15:16:35,32.8,59.0,,,,
251,2026-04-15 15:16:40,32.8,59.0,,,,
252,2026-04-15 15:16:45,32.8,59.0,,,,
253,2026-04-15 15:16:50,32.8,59.0,,,,
254,2026-04-15 15:16:55,32.8,59.0,,,,
255,2026-04-15 15:17:00,32.8,59.0,,,,
256,2026-04-15 15:17:05,32.8,59.0,,,,
257,2026-04-15 15:17:10,32.8,59.0,,,,
258,2026-04-15 15:17:15,32.8,59.0,,,,
259,2026-04-15 15:17:25,32.8,59.0,,,,
260,2026-04-15 15:17:30,32.8,59.0,,,,
261,2026-04-15 15:17:35,32.8,59.0,,,,
262,2026-04-15 15:17:40,32.8,59.0,,,,
263,2026-04-15 15:17:45,32.8,59.0,,,,
264,2026-04-15 15:17:50,32.8,59.0,,,,
